sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge_bob(C),totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
11,12478,LD2,2100,750,9.88896869610829,0.000216697960838,0.0322881,0.0289925,0.9675,0.967617
11,12479,LD2,2100,750,9.888844816753926,0.0002297970260697,0.0326255,0.0292818,0.965531,0.965645
11,12480,LD2,2100,750,9.888730205717172,0.0001982845253218,0.0317814,0.0285203,0.955861,0.95597
11,12481,LD2,2100,750,9.888972804801444,0.0002598256076322,-99.0,0.0121433,0.946662,0.946783
11,12482,LD2,2100,750,9.889125784285712,0.0001601991530622,0.0181052,0.016247,0.955168,0.955274
11,12485,LD2,2100,750,9.88893489116451,0.0003702272629607,0.0335731,0.0301329,0.961356,0.961467
11,12486,LD2,2100,750,9.88894071050943,0.0003918237167417,0.030743,0.027601,0.961023,0.961135
11,12498,LD2,2100,750,9.889149274602648,0.0002931311710362,0.0180664,0.0162078,0.968533,0.968642
11,12499,LD2,2100,750,9.88905433160183,0.0001452434436619,0.0295717,0.0265208,0.967394,0.967504
11,12500,LD2,2100,750,9.888994229252337,0.0001189948953298,0.00760819,0.0068212,0.96701,0.967133
11,12501,LD2,2100,750,9.889058439999998,0.0002848855490803,0.00039332,0.000351186,0.978003,0.978085
11,12502,LD2,2100,750,9.888978053040292,0.0001443090583987,0.0203249,0.0180723,0.905875,0.906292
11,12512,LD2,2100,750,9.889032686278194,0.0001568334871851,0.0342237,0.0307011,0.967889,0.968005
11,12513,LD2,2100,750,9.889035136096654,0.0001553079514526,0.0345378,0.0309957,0.962489,0.962598
11,12514,LD2,2100,750,9.889037972125692,0.0001609697853856,0.0326277,0.0292832,0.968436,0.968551
11,12515,LD2,2100,750,9.889037280821915,0.0001872738931256,0.0186512,0.0167391,0.965537,0.965649
11,12516,LD2,2100,750,9.88911384111111,0.0001620457328545,0.0289713,0.0260071,0.970128,0.970239
11,12517,LD2,2100,750,9.8889782,0.0,9.8079e-05,7.85587e-05,1.03071,1.03082
11,12521,LD2,2100,750,9.889064414323483,0.0002142205478092,0.0355694,0.0319314,0.969653,0.969771
11,12523,LD2,2100,750,9.888968432565443,0.000316706471111,0.0240572,0.0215826,0.924603,0.924711
11,12527,LD2,2100,750,9.88911408890351,0.0001747126512086,0.0341207,0.0235809,0.84226,0.842353
11,12532,LD2,2100,750,9.889062935427926,0.0001943065691743,0.0299694,0.0268895,0.843416,0.843514
11,12534,LD2,2100,750,9.888997369891774,0.0001757425050302,0.0300944,0.0269938,0.8802,0.880305
11,12535,LD2,2100,750,9.88909388385135,0.0001708741945935,0.0181193,0.0162786,0.884604,0.8847
11,12536,LD2,2100,750,9.889094692390742,0.000178199837585,0.0232881,0.0209012,0.875771,0.875867
11,12537,LD2,2100,750,9.889084370092164,0.0001589944999886,0.0253838,0.0227891,0.892209,0.892312
11,12538,LD2,2100,750,9.88915446980198,0.0001420394371994,0.0054586,0.00488789,0.895711,0.89581
11,12539,LD2,2100,750,9.88902093944196,0.0001437514176395,0.0308224,0.0273828,0.905184,0.905291
11,12541,LD2,2100,750,9.889009563971772,0.0002347698777686,0.0326133,0.0292565,0.969804,0.969916
11,12542,LD2,2100,750,9.889127786585364,0.0001773261144153,0.033071,0.0297071,0.970763,0.97087
11,12543,LD2,2100,750,9.889127096681412,0.0001578334219774,0.0455255,0.0408449,0.96994,0.970051
11,12544,LD2,2100,750,9.889186157429464,8.718652285237762e-05,0.012929,0.0116271,0.969262,0.969379
11,12547,LD2,2100,750,9.889121667790052,0.0001401466860822,0.0339447,0.0304574,0.972666,0.972771
11,12549,LD2,2100,750,9.888966029209485,0.0002142904944804,0.0344148,0.0308769,0.970491,0.9706
11,12550,LD2,2100,750,9.888938499436366,0.0002391030546286,0.0349223,0.0313421,0.970776,0.970886
11,12551,LD2,2100,750,9.888853688970295,0.000238238056683,0.032761,0.0293901,0.971178,0.971287
11,12552,LD2,2100,750,9.888820902797494,0.0001917007170364,0.0317005,0.0284438,0.970909,0.971013
11,12553,LD2,2100,750,9.88887197480427,0.0002123043225171,0.0367581,0.0329768,0.968893,0.969006
11,12554,LD2,2100,750,9.888920975267858,0.0002132164108966,0.0325262,0.0292018,0.964343,0.964452
11,12556,LD2,2100,750,9.88846919703896,0.0001716008996261,0.0274363,0.0243386,0.968662,0.968768
11,12558,LD2,2100,750,9.888617569104476,0.0002389805844047,-99.0,0.0155902,0.947762,0.947871
11,12559,LD2,2100,750,9.888660963257577,0.0002157545149745,-99.0,0.038516,0.927313,0.927422
11,12565,LD2,2100,750,9.888701084302552,0.0001940714140442,-99.0,0.0379649,0.954019,0.954123
11,12566,LD2,2100,750,9.888623023455343,0.0003940912757203,-99.0,0.0392956,0.963017,0.963119
11,12567,LD2,2100,750,9.888334727313168,0.000346470885501,-99.0,0.0387171,0.97266,0.972767
11,12568,LD2,2100,750,9.888322795611886,0.0004015597488579,-99.0,0.0383185,0.968674,0.968784
11,12569,LD2,2100,750,9.88854305505338,0.0002381296483518,-99.0,0.0418592,0.95543,0.955539
11,12570,LD2,2100,750,9.8884730125,0.0002501632032699,-99.0,0.0410193,0.969031,0.969133
11,12571,LD2,2100,750,9.888696521127272,0.0002877168468199,-99.0,0.0190284,0.952592,0.952697
11,12572,LD2,2100,750,9.888849636830123,0.0002144831854533,-99.0,0.0380491,0.956474,0.956578
11,12574,LD2,2100,750,9.888794353007244,0.0003057622462276,-99.0,0.0379548,0.95555,0.95566
11,12577,LD2,2100,750,9.888664223851851,0.0004122843616665,0.0345312,0.00726931,0.960429,0.960544
11,12580,LD2,2100,750,9.888739123429056,0.0002140435030904,-99.0,0.0428618,0.949888,0.949994
11,12581,LD2,2100,750,9.888912829272238,0.0002837633200981,-99.0,0.0384817,0.953685,0.953796
11,12582,LD2,2100,750,9.888885885842388,0.0003062556713327,-99.0,0.037265,0.969905,0.970012
11,12583,LD2,2100,750,9.8885737904,0.0002805671871195,-99.0,0.0373525,0.967687,0.967803
11,12584,LD2,2100,750,9.888746859724954,0.0002165183359668,-99.0,0.0377765,0.957127,0.957237
11,12585,LD2,2100,750,9.888702676654136,0.000254203853586,-99.0,0.0383078,0.951407,0.951513
11,12586,LD2,2100,750,9.888550467257769,0.0002906992978934,-99.0,0.0386498,0.958479,0.958584
11,12589,LD2,2100,750,9.888661825664844,0.0002662632955638,-99.0,0.0418192,0.955263,0.955368
11,12590,LD2,2100,750,9.888933304952152,0.0003143043934132,-99.0,0.0241141,0.951022,0.951126
11,12592,LD2,2100,750,9.888999631007191,0.0002244741237417,-99.0,0.0151632,0.957546,0.957646
11,12593,LD2,2100,750,9.888964500878592,0.000299633616214,-99.0,0.0347662,0.96858,0.968688
11,12597,LD2,2100,750,9.888872221936682,0.0003794862247778,-99.0,0.0382463,0.961679,0.961787
11,12598,LD2,2100,750,9.888468356863635,0.0002876187494863,-99.0,0.0333886,0.960999,0.961113
11,12599,LD2,2100,750,9.888985077714285,0.000412677849118,-99.0,0.00465485,0.968105,0.968207
11,12614,LD2,2100,750,9.888838581064892,0.0002875661715762,-99.0,0.0381567,0.971173,0.971273
11,12618,LD2,2100,750,9.888912002,0.0003607852564592,-99.0,0.0126259,0.944182,0.944284
11,12619,LD2,2100,750,9.888910679202898,0.0003381332240915,0.0295711,0.0265123,0.947616,0.947722
11,12620,LD2,2100,750,9.888998882299267,0.0002727193833725,0.0274454,0.0246554,0.964999,0.965108
11,12623,LD2,2100,750,9.889024798173718,0.0003294942967409,0.0150074,0.0135031,0.947147,0.947249
11,12627,LD2,2100,750,9.889068174999998,0.0002233109858239,0.0416999,0.037402,0.970531,0.97064
11,12628,LD2,2100,750,9.889149593144651,0.0002438639542219,0.0016347,0.00149413,0.96495,0.965039
11,12638,LD2,2100,750,9.88885233967742,0.0003521500640997,0.0445055,0.0399465,0.947034,0.947141
11,12639,LD2,2100,750,9.888945567183098,0.0001830595184095,0.00635437,0.0056843,0.970931,0.971042
11,12641,LD2,2100,750,9.888901763041666,0.0002811475637053,0.0340946,0.0305879,0.956575,0.956684
11,12642,LD2,2100,750,9.88877524,0.0002364992469332,0.0096124,0.00860135,0.971639,0.971734
11,12643,LD2,2100,750,9.888682229999995,0.0002847230776702,0.0376875,0.0337887,0.943004,0.943109
11,12644,LD2,2100,750,9.8887880725,0.0003857337379754,0.0123368,0.0110741,0.942756,0.942857
11,12645,LD2,2100,750,9.8884854485258,0.000422546007484,0.0296491,0.0265823,0.960598,0.960707
11,12647,LD2,2100,750,9.888781958716049,0.0004270746976339,0.0190868,0.0171511,0.944727,0.944835
11,12653,LD2,2100,750,9.888171361436784,0.000353773081353,0.0421516,0.0377997,0.942671,0.936283
11,12654,LD2,2100,750,9.888237961234566,0.0002298622378044,0.000693961,0.000636616,0.96443,0.963404
11,12655,LD2,2100,750,9.888528776554455,0.0002689440889625,0.0422072,0.0378376,0.961001,0.954059
11,12656,LD2,2100,750,9.888711824111969,0.0002107291784718,0.0420949,0.0377384,0.946183,0.940675
11,12659,LD2,2100,750,9.888813012399297,0.0002746231691733,0.0422848,0.0379157,0.956143,0.951115
11,12660,LD2,2100,750,9.888817897522122,0.0003442824647649,0.0403201,0.0361953,0.970797,0.965233
11,12661,LD2,2100,750,9.888610468526316,0.0002848540750354,0.0439272,0.039389,0.971113,0.965537
11,12662,LD2,2100,750,9.88884686078864,0.0003136544846989,0.0184718,0.0165835,0.972019,0.967041
11,12664,LD2,2100,750,9.888544895240171,0.0004832543171462,0.0155613,0.0126762,0.973369,0.968804
11,12666,LD2,2100,750,9.888524289148934,0.0002958056968762,0.00725582,0.00649201,0.973364,0.96402
11,12671,LD2,2100,750,9.888815596960653,0.0003087434108546,0.051734,0.0464041,0.946648,0.941382
11,12673,LD2,2100,750,9.88878640521452,0.0002344656597667,0.0441238,0.0395827,0.947075,0.941957
11,12674,LD2,2100,750,9.888722402114752,0.0002473558593776,0.0519599,0.0465917,0.926875,0.921139
11,12678,LD2,2100,750,9.888501075939397,0.0003690882849841,0.0121529,0.010902,0.937012,0.933436
11,12679,LD2,2100,750,9.888485240224524,0.0004451027465952,0.0420504,0.0377223,0.930807,0.925272
11,12680,LD2,2100,750,9.888407804415325,0.0003107428352607,0.0424766,0.0380749,0.932559,0.928398
11,12681,LD2,2100,750,9.888229915348836,7.931342858572089e-05,0.00405714,0.00362505,0.934843,0.926768
11,12682,LD2,2100,750,9.888304002310536,0.0003308459527361,0.0462718,0.0411628,0.93553,0.931233
11,12683,LD2,2100,750,9.888190886275718,0.0002994168306413,0.0428028,0.038366,0.933593,0.928141
11,12684,LD2,2100,750,9.888017501666669,0.0002525287759179,0.0319328,0.0286128,0.939713,0.933545
11,12686,LD2,2100,750,9.888085086496597,0.0006047917174009,0.0433658,0.0388875,0.933015,0.928643
