sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge_bob(C),totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
11,12677,LH2,2100,750,9.888620975375376,0.0003835290270836,0.0332087,0.0297664,0.987845,0.982332
11,12691,LH2,2100,750,9.88893045335463,0.0002279616205818,0.0350871,0.0314396,0.974363,0.968967
11,12692,LH2,2100,750,9.888942459766666,0.0002131442950868,0.0343188,0.0307525,0.973193,0.970687
11,12704,LH2,2100,750,9.88912550128898,0.0001588032280741,0.0597316,0.0534928,0.977978,0.973365
11,12705,LH2,2100,750,9.88915739958525,0.0001600020570973,0.0228948,0.0204928,0.979055,0.976706
11,12716,LH2,2100,750,9.889119245965166,0.000135639303821,0.0795148,0.0712513,0.980849,0.976617
11,12730,LH2,0,750,9.889016309855371,0.0001850372648649,0.0570527,0.0511156,0.969802,0.962916
11,12731,LH2,0,750,9.888980676543207,0.0001572859811475,0.0802027,0.0718537,0.983952,0.977643
11,12747,LH2,2100,750,9.889239452,5.211524598241663e-05,0.00127715,0.00115951,0.98057,0.976871
11,12758,LH2,2100,750,9.889349554634148,0.0002325935310323,0.0505925,0.0453372,0.98402,0.98001
11,12765,LH2,2100,750,9.88941094596774,0.0002048942572682,0.0292407,0.0262135,0.977791,0.973555
11,12776,LH2,2100,750,9.889423020150096,0.0001659127276505,0.0566236,0.0507478,0.980213,0.97569
11,12777,LH2,2100,750,9.889441495113266,0.0002253366025873,0.0309898,0.0277777,0.990051,0.986191
11,12809,LH2,2100,750,9.88946675552356,0.0002434157402644,0.040185,0.0360143,0.975932,0.97158
11,12810,LH2,2100,750,9.889326569568963,0.000195444314567,0.0137974,0.0123868,0.969886,0.967657
11,12812,LH2,2100,750,9.88920606674074,0.0001871900693918,0.0143376,0.0128231,0.991569,0.986278
11,12822,LH2,2100,750,9.88962866646302,0.0002656690281093,0.0389965,0.0349274,0.989934,0.98708
11,12823,LH2,2100,750,9.889551897927928,0.0002930417190399,0.039458,0.0353483,0.990073,0.984969
11,12895,LH2,2100,750,9.888584449984776,0.0003602997100722,0.073774,0.0661107,0.988033,0.985868
11,12910,LH2,2100,750,9.889264046543,0.0002274340305996,0.0665261,0.05959,0.9888,0.986775
11,12923,LH2,2100,750,9.889293596284986,0.0003686249786675,0.0347759,0.0310937,0.989211,0.987255
11,12930,LH2,2100,750,9.889453182328769,0.0002628155448231,0.035592,0.0318675,0.989005,0.987009
11,12931,LH2,2100,750,9.889406354511545,0.0002572592492526,0.0640141,0.0573409,0.988576,0.986576
11,12959,LH2,2100,750,9.88903314661742,0.0002055974161184,0.136962,0.122723,0.988804,0.986844
11,12960,LH2,2100,750,9.888932273157891,0.0002387457405797,0.00229295,0.00204899,0.987227,0.985163
11,12973,LH2,2100,750,9.888887916974026,0.0004169362894271,0.077967,0.0698776,0.990314,0.988427
11,12974,LH2,2100,750,9.88915811819407,0.000188697189593,0.0877133,0.0785704,0.99031,0.988421
11,13027,LH2,2100,750,9.888480978333334,0.0003718401234238,0.0777468,0.0696591,0.990235,0.988307
11,13028,LH2,2100,750,9.8885835541116,0.0003096360197514,0.0761417,0.0682289,0.989921,0.988023
11,13041,LH2,2100,750,9.888929748443935,0.000539329923142,0.0440014,0.0394405,0.990114,0.988208
11,13042,LH2,2100,750,9.888904472793458,0.0006199786043859,0.0791181,0.0708942,0.990218,0.988365
11,13043,LH2,2100,750,9.888914028469388,0.0003371379543503,0.033896,0.0303618,0.990473,0.98872
