sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A)
14,13322,LD2,1470,750
14,13323,LD2,1470,750
14,13324,LD2,1470,750
14,13325,LD2,1470,750
14,13342,LD2,1470,750
14,13344,LD2,1470,750
14,13353,LD2,1470,750
14,13357,LD2,1470,750
14,13358,LD2,1470,750
14,13359,LD2,1470,750
14,13360,LD2,1470,750
14,13361,LD2,1470,750
14,13362,LD2,1470,750
14,13363,LD2,1470,750
14,13364,LD2,1470,750
14,13368,LD2,1470,750
14,13369,LD2,1470,750
14,13370,LD2,1470,750
14,13371,LD2,1470,750
14,13372,LD2,1470,750
14,13373,LD2,1470,750
14,13381,LD2,1470,750
14,13382,LD2,1470,750
14,13384,LD2,1470,750
14,13385,LD2,1470,750
14,13387,LD2,1470,750
14,13388,LD2,1470,750
14,13389,LD2,1470,750
14,13390,LD2,1470,750
14,13391,LD2,1470,750
14,13392,LD2,1470,750
14,13393,LD2,1470,750
14,13394,LD2,1470,750
14,13395,LD2,1470,750
14,13398,LD2,1470,750
14,13399,LD2,1470,750
14,13400,LD2,1470,750
14,13402,LD2,1470,750
14,13403,LD2,1470,750
14,13406,LD2,1470,750
14,13407,LD2,1470,750
8,13453,LD2,1470,750
8,13454,LD2,1470,750
8,13455,LD2,1470,750
8,13468,LD2,0,750
8,13470,LD2,0,750
8,13472,LD2,0,750
8,13473,LD2,0,750
8,13474,LD2,0,750
8,13475,LD2,0,750
8,13476,LD2,0,750
8,13477,LD2,0,750
8,13478,LD2,0,750
8,13479,LD2,0,750
8,13491,LD2,1470,750
8,13492,LD2,1470,750
8,13493,LD2,1470,750
8,13494,LD2,1470,750
8,13495,LD2,1470,750
8,13496,LD2,1470,750
8,13497,LD2,1470,750
8,13502,LD2,1470,750
8,13503,LD2,1470,750
8,13504,LD2,1470,750
8,13505,LD2,1470,750
8,13544,LD2,2100,750
8,13545,LD2,2100,750
8,13546,LD2,2100,750
8,13547,LD2,2100,750
8,13548,LD2,2100,750
8,13549,LD2,2100,750
8,13550,LD2,2100,750
8,13551,LD2,2100,750
8,13552,LD2,2100,750
8,13554,LD2,2100,750
8,13556,LD2,2100,750
8,13557,LD2,2100,750
8,13558,LD2,1470,750
8,13559,LD2,1470,750
8,13560,LD2,1470,750
8,13561,LD2,1470,750
8,13562,LD2,1470,750
8,13563,LD2,1470,750
8,13564,LD2,1470,750
8,13565,LD2,1470,750
8,13566,LD2,1470,750
8,13567,LD2,1470,750
8,13568,LD2,1470,750
8,13569,LD2,1470,750
8,13570,LD2,1470,750
8,13571,LD2,1470,750
8,13581,LD2,1050,750
8,13582,LD2,1050,750
8,13583,LD2,1050,750
8,13584,LD2,1050,750
8,13585,LD2,1050,750
8,13586,LD2,1050,750
8,13587,LD2,1470,750
8,13588,LD2,1470,750
8,13589,LD2,1470,750
8,13590,LD2,1470,750
8,13591,LD2,1470,750
8,13592,LD2,1470,750
8,13593,LD2,1470,750
8,13596,LD2,1470,750
8,13597,LD2,1470,750
8,13608,LD2,1470,750
8,13609,LD2,1470,750
8,13610,LD2,1470,750
8,13612,LD2,1470,750
8,13613,LD2,1470,750
8,13614,LD2,1470,750
8,13615,LD2,1470,750
8,13616,LD2,1470,750
8,13617,LD2,1470,750
8,13618,LD2,1470,750
8,13619,LD2,1470,750
8,13620,LD2,1470,750
9,13660,LD2,1470,750
9,13661,LD2,1470,750
9,13662,LD2,1470,750
9,13664,LD2,1470,750
9,13665,LD2,1470,750
9,13666,LD2,1470,750
9,13677,LD2,1470,750
9,13678,LD2,1470,750
9,13679,LD2,1470,750
9,13680,LD2,1470,750
9,13681,LD2,1470,750
9,13682,LD2,1470,750
9,13684,LD2,1470,750
9,13685,LD2,1470,750
9,13686,LD2,1470,750
9,13687,LD2,1470,750
9,13688,LD2,1470,750
9,13689,LD2,1470,750
9,13694,LD2,1470,750
9,13695,LD2,1470,750
9,13698,LD2,1470,750
