runnum,evnum,HALLA_p
13452,3067109,5964.73
13452,3091680,5964.73
13452,3116645,5964.62
13452,3141268,5964.62
13452,3166439,5964.6
13452,3191006,5964.6
13452,3215875,5964.56
13452,3241002,5964.56
13452,3266020,5964.61
13452,3291170,5964.61
13452,3315927,5964.61
13452,3341112,5964.56
13452,3366762,5964.56
13452,3392264,5964.63
13452,3417785,5964.63
13452,3443404,5964.51
13452,3468880,5964.51
13452,3494358,5964.59
13452,3520015,5964.59
13452,3545951,5964.59
13452,3571495,5964.63
13452,3596914,5964.63
13452,3622122,5964.63
13452,3647435,5964.63
13452,3672795,5964.57
13452,3698166,5964.57
13452,3723756,5964.69
13452,3748838,5964.69
13452,3774101,5964.69
13452,3799422,5964.64
13452,3824844,5964.64
13452,3850072,5964.57
13452,3875596,5964.57
13452,3900901,5964.52
13452,3926432,5964.52
13452,3951821,5964.52
13452,3977604,5964.6
13452,4003180,5964.6
13452,4028264,5964.58
13452,4053405,5964.58
13452,4078045,5964.59
13452,4102743,5964.59
13452,4127718,5964.59
13452,4152295,5964.59
13452,4177102,5964.59
13452,4201962,5964.48
13452,4226668,5964.48
13452,4251622,5964.72
13452,4276299,5964.72
13452,4301130,5964.64
13452,4325839,5964.64
13452,4350159,5964.64
13452,4375505,5964.52
13452,4400603,5964.52
13452,4425441,5964.63
13452,4450256,5964.63
13452,4475089,5964.62
13452,4499916,5964.62
13452,4524537,5964.67
13452,4549658,5964.67
13452,4574745,5964.67
13452,4599510,5964.64
13452,4624718,5964.64
13452,4649741,5964.66
13452,4674779,5964.66
13452,4699603,5964.68
13452,4724836,5964.68
13452,4749927,5964.65
13452,4775118,5964.65
13452,4800299,5964.65
13452,4825306,5964.59
13452,4850460,5964.59
13452,4875738,5964.55
13452,4900714,5964.55
13452,4925400,5964.52
13452,4950713,5964.52
13452,4976358,5964.63
13452,5001839,5964.63
13452,5027552,5964.63
13452,5053132,5964.57
13452,5078987,5964.57
13452,5104664,5964.62
13452,5130429,5964.62
13452,5156232,5964.65
13452,5181661,5964.65
13452,5207518,5964.74
13452,5232916,5964.74
13452,5258346,5964.74
13452,5283662,5964.6
13452,5309409,5964.6
13452,5335013,5964.55
13452,5360594,5964.55
13452,5385822,5964.64
13452,5411119,5964.64
13452,5436366,5964.52
13452,5461579,5964.52
13452,5486485,5964.52
13452,5511252,5964.67
13452,5536264,5964.67
13452,5561084,5964.52
13452,5586017,5964.52
13452,5610731,5964.58
13452,5635558,5964.58
13452,5660503,5964.61
13452,5685231,5964.61
13452,5710049,5964.61
13452,5735317,5964.61
13452,5760673,5964.61
13452,5785947,5964.56
13452,5811299,5964.56
13452,5836586,5964.66
13452,5861597,5964.66
13452,5886818,5964.66
13452,5912271,5964.7
13452,5937267,5964.7
13452,5962471,5964.64
13452,5987628,5964.64
13452,6012771,5964.65
13452,6037996,5964.65
13452,6063829,5964.65
13452,6089487,5964.65
13452,6115553,5964.65
13452,6141281,5964.59
13452,6146763,5964.59
13459,61278,5964.5
13459,82937,5964.5
13459,104139,5964.55
13459,124835,5964.55
13459,145662,5964.49
13459,166517,5964.49
13459,177454,5964.54
13459,177740,5964.54
13459,177961,5964.54
13459,180012,5965.54
13459,199439,5965.54
13459,220040,5965.54
