runnum,totcharge_bob(C),totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
12570,-99.0,0.0410193,0.969031,0.969133
12571,-99.0,0.0190284,0.952592,0.952697
12572,-99.0,0.0380491,0.956474,0.956578
12574,-99.0,0.0379548,0.95555,0.95566
12577,0.0345312,0.00726931,0.960429,0.960544
12580,-99.0,0.0428618,0.949888,0.949994
12581,-99.0,0.0384817,0.953685,0.953796
12582,-99.0,0.037265,0.969905,0.970012
12583,-99.0,0.0373525,0.967687,0.967803
12584,-99.0,0.0377765,0.957127,0.957237
12585,-99.0,0.0383078,0.951407,0.951513
12586,-99.0,0.0386498,0.958479,0.958584
12589,-99.0,0.0418192,0.955263,0.955368
12590,-99.0,0.0241141,0.951022,0.951126
12592,-99.0,0.0151632,0.957546,0.957646
12593,-99.0,0.0347662,0.96858,0.968688
12597,-99.0,0.0382463,0.961679,0.961787
12598,-99.0,0.0333886,0.960999,0.961113
12599,-99.0,0.00465485,0.968105,0.968207
12614,-99.0,0.0381567,0.971173,0.971273
12618,-99.0,0.0126259,0.944182,0.944284
12619,0.0295711,0.0265123,0.947616,0.947722
12620,0.0274454,0.0246554,0.964999,0.965108
12623,0.0150074,0.0135031,0.947147,0.947249
12627,0.0416999,0.037402,0.970531,0.97064
12628,0.0016347,0.00149413,0.96495,0.965039
12638,0.0445055,0.0399465,0.947034,0.947141
12639,0.00635437,0.0056843,0.970931,0.971042
12641,0.0340946,0.0305879,0.956575,0.956684
12642,0.0096124,0.00860135,0.971639,0.971734
12643,0.0376875,0.0337887,0.943004,0.943109
12644,0.0123368,0.0110741,0.942756,0.942857
12645,0.0296491,0.0265823,0.960598,0.960707
12647,0.0190868,0.0171511,0.944727,0.944835
12653,0.0421516,0.0377997,0.942671,0.936283
12654,0.000693961,0.000636616,0.96443,0.963404
12655,0.0422072,0.0378376,0.961001,0.954059
12656,0.0420949,0.0377384,0.946183,0.940675
12659,0.0422848,0.0379157,0.956143,0.951115
12660,0.0403201,0.0361953,0.970797,0.965233
12661,0.0439272,0.039389,0.971113,0.965537
12662,0.0184718,0.0165835,0.972019,0.967041
12664,0.0155613,0.0126762,0.973369,0.968804
12666,0.00725582,0.00649201,0.973364,0.96402
12671,0.051734,0.0464041,0.946648,0.941382
12673,0.0441238,0.0395827,0.947075,0.941957
12674,0.0519599,0.0465917,0.926875,0.921139
12678,0.0121529,0.010902,0.937012,0.933436
12679,0.0420504,0.0377223,0.930807,0.925272
12680,0.0424766,0.0380749,0.932559,0.928398
12681,0.00405714,0.00362505,0.934843,0.926768
12682,0.0462718,0.0411628,0.93553,0.931233
12683,0.0428028,0.038366,0.933593,0.928141
12684,0.0319328,0.0286128,0.939713,0.933545
12686,0.0433658,0.0388875,0.933015,0.928643
12687,0.0475297,0.042617,0.93243,0.927999
12688,0.0284111,0.0254666,0.933463,0.929246
12693,0.0443172,0.0397379,0.928254,0.922693
12694,0.0420396,0.037682,0.927103,0.921683
12695,0.0424681,0.0380838,0.926783,0.922591
12697,0.0397548,0.0356329,0.926846,0.922524
12699,0.0338483,0.0303305,0.927727,0.921301
12700,0.0264026,0.0236671,0.9478,0.944561
12701,0.0424184,0.0380343,0.948825,0.944097
12702,0.0418921,0.0375477,0.950214,0.94475
12706,0.049785,0.0446275,0.950598,0.944934
12707,0.0521535,0.0467742,0.95186,0.946745
12708,0.0505106,0.0452781,0.95095,0.946358
12709,0.049634,0.0444928,0.950513,0.945786
12710,0.0505964,0.0453735,0.950886,0.946313
12711,0.0512842,0.046035,0.951237,0.947565
12713,0.00164065,0.00145678,0.954721,0.947984
12714,0.0526693,0.0472139,0.949217,0.944582
12715,0.0527213,0.0472666,0.951484,0.946483
12721,0.0554032,0.0496942,0.949387,0.94516
12722,0.0466537,0.0418324,0.948256,0.943702
12726,0.0388942,0.0348747,0.957965,0.951495
12728,0.0359781,0.0322573,0.957544,0.950439
12729,0.0564475,0.0505914,0.957266,0.950317
12732,0.0537559,0.048187,0.952546,0.947718
12733,0.0281579,0.0252694,0.951749,0.946473
12734,0.025456,0.0228194,0.951207,0.946948
12735,0.0521487,0.0467564,0.95111,0.945439
12737,0.00531893,0.00477164,0.950236,0.943512
12738,0.0485405,0.0435297,0.947998,0.941938
12739,0.000826003,0.000752784,0.956695,0.951226
12740,0.0340478,0.0305349,0.947682,0.941823
12742,0.031116,0.0279123,0.946556,0.940579
12743,0.0254515,0.0228397,0.948855,0.943348
12767,0.0388655,0.034853,0.950086,0.945247
12768,0.0195365,0.0175644,0.950358,0.945801
12769,0.035837,0.0321345,0.947438,0.942329
12770,0.0734105,0.0658545,0.947665,0.942572
12771,0.0734057,0.0658053,0.947452,0.942032
12772,0.0784766,0.0703641,0.947702,0.942157
12773,0.0467734,0.041975,0.947833,0.942643
12778,0.0710386,0.0637096,0.946777,0.942146
12779,0.0429371,0.0385107,0.947468,0.943322
12781,0.0445122,0.0399121,0.947089,0.94244
12782,0.0277319,0.0245601,0.946814,0.942006
12796,0.00338293,0.00303239,0.964549,0.960398
12797,0.0372331,0.0333821,0.947899,0.943781
12798,0.0356177,0.0319386,0.947902,0.943735
12799,0.0384184,0.0344482,0.948394,0.943133
12801,0.0492484,0.0441466,0.948362,0.943933
12802,0.0446244,0.0399898,0.947746,0.943912
12813,0.0652653,0.0585459,0.948596,0.944052
12814,0.0497297,0.0445872,0.94756,0.942175
12815,0.0511599,0.0458632,0.946821,0.942247
12816,0.0503699,0.0451735,0.948543,0.943977
12817,0.0528558,0.0473818,0.947962,0.943424
12819,0.0503758,0.0451731,0.948047,0.943866
12820,0.0744803,0.0667768,0.948263,0.943174
12824,0.0489644,0.0439079,0.948637,0.944104
12825,0.049583,0.0444574,0.952094,0.947312
12826,0.0509024,0.0456494,0.948423,0.943433
12827,0.0499617,0.0447899,0.947425,0.943351
12828,0.0511073,0.0458212,0.949079,0.944026
12829,0.0500558,0.0448648,0.953222,0.948548
12830,0.0333949,0.0299331,0.951802,0.946321
12894,0.0514811,0.0461564,0.961968,0.959117
12896,0.0432688,0.0387931,0.958018,0.955743
12897,0.0320236,0.0287766,0.96034,0.957434
12902,0.0201677,0.0181434,0.963895,0.961659
12903,0.00503924,0.00187624,0.968714,0.966307
12904,0.0407176,0.0365614,0.961264,0.958677
12906,0.0437142,0.0392034,0.960918,0.958178
12907,0.0544195,0.0488007,0.961563,0.958999
12908,0.0450199,0.0403735,0.961912,0.958898
12909,0.0546091,0.0489636,0.961214,0.958795
12911,0.00464787,0.00416045,0.965199,0.962789
12912,0.0422185,0.0378917,0.961416,0.958356
12913,0.00503232,0.00452048,0.957101,0.954967
12914,0.0167141,0.0149766,0.960238,0.956956
12915,0.0321861,0.0281131,0.959731,0.957212
12916,0.0419431,0.0376072,0.9598,0.957156
12917,0.0421084,0.0377691,0.960661,0.958021
12918,0.0427536,0.0383568,0.959853,0.95696
12919,0.0419941,0.0376852,0.959843,0.957251
12920,0.0453407,0.0406573,0.960107,0.957468
12921,0.015084,0.013516,0.960096,0.957466
12932,0.0448006,0.0401667,0.962051,0.959457
12933,0.0409915,0.036749,0.962628,0.96004
12934,0.022281,0.0195017,0.950113,0.947551
12935,0.0454965,0.0407854,0.962432,0.959899
12936,0.042024,0.0377189,0.963839,0.96129
12939,0.0497481,0.0446115,0.963599,0.961073
12940,0.0443184,0.0397636,0.964407,0.961869
12946,0.0172501,0.0149988,0.963911,0.961404
12957,0.0400639,0.0359213,0.963793,0.961289
12961,0.0433227,0.0388341,0.963979,0.961492
12962,0.0216426,0.0193925,0.965013,0.962537
12963,0.0156626,0.0140531,0.96333,0.960803
